filename,prop,depth,measure,scalar
caco3_0_cm_h.tif,caco3,0_cm,h,1
caco3_0_cm_l.tif,caco3,0_cm,l,1
caco3_0_cm_p.tif,caco3,0_cm,p,1
caco3_0_cm_rpi.tif,caco3,0_cm,rpi,0.01
caco3_100_cm_h.tif,caco3,100_cm,h,1
caco3_100_cm_l.tif,caco3,100_cm,l,1
caco3_100_cm_p.tif,caco3,100_cm,p,1
caco3_100_cm_rpi.tif,caco3,100_cm,rpi,0.01
caco3_15_cm_h.tif,caco3,15_cm,h,1
caco3_15_cm_l.tif,caco3,15_cm,l,1
caco3_15_cm_p.tif,caco3,15_cm,p,1
caco3_15_cm_rpi.tif,caco3,15_cm,rpi,0.01
caco3_150_cm_h.tif,caco3,150_cm,h,1
caco3_150_cm_l.tif,caco3,150_cm,l,1
caco3_150_cm_p.tif,caco3,150_cm,p,1
caco3_150_cm_rpi.tif,caco3,150_cm,rpi,0.01
caco3_30_cm_h.tif,caco3,30_cm,h,1
caco3_30_cm_l.tif,caco3,30_cm,l,1
caco3_30_cm_p.tif,caco3,30_cm,p,1
caco3_30_cm_rpi.tif,caco3,30_cm,rpi,0.01
caco3_5_cm_h.tif,caco3,5_cm,h,1
caco3_5_cm_l.tif,caco3,5_cm,l,1
caco3_5_cm_p.tif,caco3,5_cm,p,1
caco3_5_cm_rpi.tif,caco3,5_cm,rpi,0.01
caco3_60_cm_h.tif,caco3,60_cm,h,1
caco3_60_cm_l.tif,caco3,60_cm,l,1
caco3_60_cm_p.tif,caco3,60_cm,p,1
caco3_60_cm_rpi.tif,caco3,60_cm,rpi,0.01
cec7_0_cm_h.tif,cec7,0_cm,h,0.1
cec7_0_cm_l.tif,cec7,0_cm,l,0.1
cec7_0_cm_p.tif,cec7,0_cm,p,0.1
cec7_0_cm_rpi.tif,cec7,0_cm,rpi,0.01
cec7_100_cm_h.tif,cec7,100_cm,h,0.1
cec7_100_cm_l.tif,cec7,100_cm,l,0.1
cec7_100_cm_p.tif,cec7,100_cm,p,0.1
cec7_100_cm_rpi.tif,cec7,100_cm,rpi,0.01
cec7_15_cm_h.tif,cec7,15_cm,h,0.1
cec7_15_cm_l.tif,cec7,15_cm,l,0.1
cec7_15_cm_p.tif,cec7,15_cm,p,0.1
cec7_15_cm_rpi.tif,cec7,15_cm,rpi,0.01
cec7_150_cm_h.tif,cec7,150_cm,h,0.1
cec7_150_cm_l.tif,cec7,150_cm,l,0.1
cec7_150_cm_p.tif,cec7,150_cm,p,0.1
cec7_150_cm_rpi.tif,cec7,150_cm,rpi,0.01
cec7_30_cm_h.tif,cec7,30_cm,h,0.1
cec7_30_cm_l.tif,cec7,30_cm,l,0.1
cec7_30_cm_p.tif,cec7,30_cm,p,0.1
cec7_30_cm_rpi.tif,cec7,30_cm,rpi,0.01
cec7_5_cm_h.tif,cec7,5_cm,h,0.1
cec7_5_cm_l.tif,cec7,5_cm,l,0.1
cec7_5_cm_p.tif,cec7,5_cm,p,0.1
cec7_5_cm_rpi.tif,cec7,5_cm,rpi,0.01
cec7_60_cm_h.tif,cec7,60_cm,h,0.1
cec7_60_cm_l.tif,cec7,60_cm,l,0.1
cec7_60_cm_p.tif,cec7,60_cm,p,0.1
cec7_60_cm_rpi.tif,cec7,60_cm,rpi,0.01
claytotal_0_cm_h.tif,claytotal,0_cm,h,1
claytotal_0_cm_l.tif,claytotal,0_cm,l,1
